library,title,year,plex_rating,imdb_rating,imdb_votes,rt_score,metacritic_score,decision,reason,misidentified_hint,file,file_size,rating_key,guid,imdb_id,poster_url,trailer_url,thumb,omdb_json,wikidata_id,wikipedia_title
Sagas,Men in Black II,2002,3.8,6.2,421618,38,49,MAYBE,score_bayes=6.21 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/MIB/Men In Black 2 (2002).mkv,2511153841,21021,plex://movie/5d776d1851dd69001fe3fe4e,tt0120912,https://m.media-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg,N/A,/library/metadata/21021/thumb/1763607288,"{""Title"": ""Men in Black II"", ""Year"": ""2002"", ""Rated"": ""PG-13"", ""Released"": ""03 Jul 2002"", ""Runtime"": ""88 min"", ""Genre"": ""Action, Adventure, Comedy"", ""Director"": ""Barry Sonnenfeld"", ""Writer"": ""Lowell Cunningham, Robert Gordon, Barry Fanaro"", ""Actors"": ""Tommy Lee Jones, Will Smith, Rip Torn"", ""Plot"": ""Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""4 wins & 16 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""38%""}, {""Source"": ""Metacritic"", ""Value"": ""49/100""}], ""Metascore"": ""49"", ""imdbRating"": ""6.2"", ""imdbVotes"": ""421,618"", ""imdbID"": ""tt0120912"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$193,735,288"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Maléfica,2014,5.4,6.9,419457,54,56,MAYBE,score_bayes=6.91 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/Malefica/Malefica (2014).mkv,4605863837,28298,plex://movie/5d77690e7a53e9001e6e033f,tt1587310,https://m.media-amazon.com/images/M/MV5BMjAwMzAzMzExOF5BMl5BanBnXkFtZTgwOTcwMDA5MTE@._V1_SX300.jpg,N/A,/library/metadata/28298/thumb/1763263687,"{""Title"": ""Maleficent"", ""Year"": ""2014"", ""Rated"": ""PG"", ""Released"": ""30 May 2014"", ""Runtime"": ""97 min"", ""Genre"": ""Adventure, Drama, Family"", ""Director"": ""Robert Stromberg"", ""Writer"": ""Linda Woolverton, Charles Perrault, Milt Banta"", ""Actors"": ""Angelina Jolie, Elle Fanning, Sharlto Copley"", ""Plot"": ""A vengeful fairy is driven to curse an infant princess, only to discover that the child could be the one person who can restore peace to their troubled land."", ""Language"": ""English"", ""Country"": ""United States, Canada, United Kingdom"", ""Awards"": ""Nominated for 1 Oscar. 12 wins & 44 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMjAwMzAzMzExOF5BMl5BanBnXkFtZTgwOTcwMDA5MTE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""54%""}, {""Source"": ""Metacritic"", ""Value"": ""56/100""}], ""Metascore"": ""56"", ""imdbRating"": ""6.9"", ""imdbVotes"": ""419,457"", ""imdbID"": ""tt1587310"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$241,410,378"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Superheroes,Eternals,2021,4.7,6.2,419104,47,52,MAYBE,score_bayes=6.22 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Infantil_01/01. Superheroes/01. Marvel/Eternals (2021).mkv,7180080868,21111,plex://movie/5d77704efb0d55001f5ed3a0,tt9032400,https://m.media-amazon.com/images/M/MV5BZTBiZjI2M2UtZTNiNy00NmU4LWJiMjYtZjk4MDIzMzhlMjFlXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/21111/thumb/1762568446,"{""Title"": ""Eternals"", ""Year"": ""2021"", ""Rated"": ""PG-13"", ""Released"": ""05 Nov 2021"", ""Runtime"": ""156 min"", ""Genre"": ""Action, Adventure, Fantasy"", ""Director"": ""Chloé Zhao"", ""Writer"": ""Chloé Zhao, Patrick Burleigh, Ryan Firpo"", ""Actors"": ""Gemma Chan, Richard Madden, Angelina Jolie"", ""Plot"": ""The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."", ""Language"": ""English, American Sign , Marathi, Assyrian Neo-Aramaic, Spanish, Sumerian, Latin, Sanskrit, Greek, Ancient (to 1453), Arabic"", ""Country"": ""United States"", ""Awards"": ""7 wins & 18 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZTBiZjI2M2UtZTNiNy00NmU4LWJiMjYtZjk4MDIzMzhlMjFlXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""47%""}, {""Source"": ""Metacritic"", ""Value"": ""52/100""}], ""Metascore"": ""52"", ""imdbRating"": ""6.2"", ""imdbVotes"": ""419,104"", ""imdbID"": ""tt9032400"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$164,870,234"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Películas Infantiles,Jumanji,1995,5.3,7.1,405277,53,41,MAYBE,score_bayes=7.10 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Infantil_01/05.Peliculas Infantiles/02. Otras productoras/12. Animales/Jumanji (1995).mkv,1437143157,28895,plex://movie/5d77683261141d001fb14e02,tt0113497,https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/28895/thumb/1762080150,"{""Title"": ""Jumanji"", ""Year"": ""1995"", ""Rated"": ""PG"", ""Released"": ""15 Dec 1995"", ""Runtime"": ""104 min"", ""Genre"": ""Adventure, Comedy, Family"", ""Director"": ""Joe Johnston"", ""Writer"": ""Jonathan Hensleigh, Greg Taylor, Jim Strain"", ""Actors"": ""Robin Williams, Kirsten Dunst, Bonnie Hunt"", ""Plot"": ""A magic board game summons jungle perils and a missing boy."", ""Language"": ""English, French"", ""Country"": ""United States"", ""Awards"": ""4 wins & 11 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""53%""}, {""Source"": ""Metacritic"", ""Value"": ""41/100""}], ""Metascore"": ""41"", ""imdbRating"": ""7.1"", ""imdbVotes"": ""405,277"", ""imdbID"": ""tt0113497"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$100,499,940"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Misión imposible 2,2000,5.8,6.1,404699,,59,MAYBE,score_bayes=6.11 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/Mision Imposible/Mision imposible 2 (2000).mkv,5526791319,21056,plex://movie/5d776828961905001eb919e1,tt0120755,https://m.media-amazon.com/images/M/MV5BYWFjM2NhMTAtNDU1My00ODUxLTkwMzYtODQzNzM0ODM0ZWQ0XkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/21056/thumb/1763607414,"{""Title"": ""Mission: Impossible II"", ""Year"": ""2000"", ""Rated"": ""PG-13"", ""Released"": ""24 May 2000"", ""Runtime"": ""123 min"", ""Genre"": ""Action, Adventure, Thriller"", ""Director"": ""John Woo"", ""Writer"": ""Bruce Geller, Ronald D. Moore, Brannon Braga"", ""Actors"": ""Tom Cruise, Dougray Scott, Thandiwe Newton"", ""Plot"": ""IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called \""Chimera\""."", ""Language"": ""English"", ""Country"": ""Germany, United States"", ""Awards"": ""12 wins & 20 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BYWFjM2NhMTAtNDU1My00ODUxLTkwMzYtODQzNzM0ODM0ZWQ0XkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.1/10""}, {""Source"": ""Metacritic"", ""Value"": ""59/100""}], ""Metascore"": ""59"", ""imdbRating"": ""6.1"", ""imdbVotes"": ""404,699"", ""imdbID"": ""tt0120755"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$215,409,889"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Películas de Adolescentes,Constantine,2005,4.6,7.0,401106,46,50,MAYBE,score_bayes=7.00 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Infantil_01/02.Peliculas de adolescentes/02. Otras productoras/04. Terror/Vampiros/Constantine (2005).mkv,5406498210,27649,plex://movie/5d77682754f42c001f8c2910,tt0360486,https://m.media-amazon.com/images/M/MV5BMjNhNTlmYmYtYjcxZi00ZDU1LTkxMWYtYzFlMWMzY2RiODM1XkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/27649/thumb/1763696920,"{""Title"": ""Constantine"", ""Year"": ""2005"", ""Rated"": ""R"", ""Released"": ""18 Feb 2005"", ""Runtime"": ""121 min"", ""Genre"": ""Action, Fantasy, Horror"", ""Director"": ""Francis Lawrence"", ""Writer"": ""Jamie Delano, Garth Ennis, Kevin Brodbin"", ""Actors"": ""Keanu Reeves, Rachel Weisz, Shia LaBeouf"", ""Plot"": ""Detective Angela approaches Constantine, a demon hunter, to help her investigate her twin sister's mysterious death. As he digs deeper, he realizes that demons are trying to enter the human world."", ""Language"": ""English, Filipino, Tagalog"", ""Country"": ""United States, Germany"", ""Awards"": ""2 wins & 11 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMjNhNTlmYmYtYjcxZi00ZDU1LTkxMWYtYzFlMWMzY2RiODM1XkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.0/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""46%""}, {""Source"": ""Metacritic"", ""Value"": ""50/100""}], ""Metascore"": ""50"", ""imdbRating"": ""7.0"", ""imdbVotes"": ""401,106"", ""imdbID"": ""tt0360486"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$75,976,178"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Kingsman: El círculo de oro,2017,5.1,6.7,392563,51,44,MAYBE,score_bayes=6.71 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/Kingsman/Kingsman 2 El Circulo De Oro (2017).mkv,3362181460,28300,plex://movie/5d776bacad5437001f7a6a05,tt4649466,https://m.media-amazon.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_SX300.jpg,N/A,/library/metadata/28300/thumb/1763263692,"{""Title"": ""Kingsman: The Golden Circle"", ""Year"": ""2017"", ""Rated"": ""R"", ""Released"": ""22 Sep 2017"", ""Runtime"": ""141 min"", ""Genre"": ""Action, Adventure, Comedy"", ""Director"": ""Matthew Vaughn"", ""Writer"": ""Jane Goldman, Matthew Vaughn, Mark Millar"", ""Actors"": ""Taron Egerton, Colin Firth, Mark Strong"", ""Plot"": ""After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."", ""Language"": ""English, Italian, Swedish"", ""Country"": ""United Kingdom, United States, Italy"", ""Awards"": ""2 wins & 14 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMjQ3OTgzMzY4NF5BMl5BanBnXkFtZTgwOTc4OTQyMzI@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.7/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""51%""}, {""Source"": ""Metacritic"", ""Value"": ""44/100""}], ""Metascore"": ""44"", ""imdbRating"": ""6.7"", ""imdbVotes"": ""392,563"", ""imdbID"": ""tt4649466"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$100,234,838"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Terminator: Salvation,2009,3.3,6.5,388740,33,49,MAYBE,score_bayes=6.51 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/Terminator/Terminator 4 Salvation (2009).mkv,3346516484,21269,plex://movie/5d7768268718ba001e311b66,tt0438488,https://m.media-amazon.com/images/M/MV5BMWY1OWQ4ZWQtYzZkOS00ZTU0LWE3MDItOTg3YzdmODRkMDVjXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/21269/thumb/1763607508,"{""Title"": ""Terminator Salvation"", ""Year"": ""2009"", ""Rated"": ""PG-13"", ""Released"": ""21 May 2009"", ""Runtime"": ""115 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""McG"", ""Writer"": ""John Brancato, Michael Ferris"", ""Actors"": ""Christian Bale, Sam Worthington, Anton Yelchin"", ""Plot"": ""As the machines prepare for a final attack, John Connor and a mysterious stranger delve into the heart of Skynet and uncover a terrible secret involving the annihilation of mankind."", ""Language"": ""English, Italian"", ""Country"": ""United States"", ""Awards"": ""2 wins & 14 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMWY1OWQ4ZWQtYzZkOS00ZTU0LWE3MDItOTg3YzdmODRkMDVjXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.5/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""33%""}, {""Source"": ""Metacritic"", ""Value"": ""49/100""}], ""Metascore"": ""49"", ""imdbRating"": ""6.5"", ""imdbVotes"": ""388,740"", ""imdbID"": ""tt0438488"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$125,322,469"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,El contable,2016,5.3,7.3,384492,53,51,MAYBE,score_bayes=7.30 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),Title mismatch: Plex='El contable' vs OMDb='The Accountant' (sim=0.56),/mnt/Sagas/00.Sagas/El Contable/El contable (2016).mkv,5747578674,23021,plex://movie/5d776b417a53e9001e71f6d1,tt2140479,https://m.media-amazon.com/images/M/MV5BNDc5Mzg2NTYxNV5BMl5BanBnXkFtZTgwMjQ2ODAwOTE@._V1_SX300.jpg,N/A,/library/metadata/23021/thumb/1758331346,"{""Title"": ""The Accountant"", ""Year"": ""2016"", ""Rated"": ""R"", ""Released"": ""14 Oct 2016"", ""Runtime"": ""128 min"", ""Genre"": ""Action, Crime, Drama"", ""Director"": ""Gavin O'Connor"", ""Writer"": ""Bill Dubuque"", ""Actors"": ""Ben Affleck, Anna Kendrick, J.K. Simmons"", ""Plot"": ""As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."", ""Language"": ""English, Indonesian, French"", ""Country"": ""United States"", ""Awards"": ""3 wins & 5 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNDc5Mzg2NTYxNV5BMl5BanBnXkFtZTgwMjQ2ODAwOTE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""53%""}, {""Source"": ""Metacritic"", ""Value"": ""51/100""}], ""Metascore"": ""51"", ""imdbRating"": ""7.3"", ""imdbVotes"": ""384,492"", ""imdbID"": ""tt2140479"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$86,260,045"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Tron: Legacy,2010,5.1,6.8,380477,51,49,MAYBE,score_bayes=6.80 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/Tron/Tron - Legacy (2010).mkv,23123989784,28268,plex://movie/5d77684561141d001fb17810,tt1104001,https://m.media-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg,N/A,/library/metadata/28268/thumb/1763263675,"{""Title"": ""Tron: Legacy"", ""Year"": ""2010"", ""Rated"": ""PG"", ""Released"": ""17 Dec 2010"", ""Runtime"": ""125 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""Joseph Kosinski"", ""Writer"": ""Edward Kitsis, Adam Horowitz, Brian Klugman"", ""Actors"": ""Jeff Bridges, Garrett Hedlund, Olivia Wilde"", ""Plot"": ""The son of a computer programmer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world."", ""Language"": ""English"", ""Country"": ""United States, India, United Kingdom, Mexico, Japan, Canada"", ""Awards"": ""Nominated for 1 Oscar. 10 wins & 52 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""51%""}, {""Source"": ""Metacritic"", ""Value"": ""49/100""}], ""Metascore"": ""49"", ""imdbRating"": ""6.8"", ""imdbVotes"": ""380,477"", ""imdbID"": ""tt1104001"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$172,062,763"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Piratas del Caribe: La venganza de Salazar,2017,3.0,6.5,376063,30,39,MAYBE,score_bayes=6.52 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),Title mismatch: Plex='Piratas del Caribe: La venganza de Salazar' vs OMDb='Pirates of the Caribbean: Dead Men Tell No Tales' (sim=0.52),/mnt/Sagas/00.Sagas/Piratas del Caribe/Piratas del Caribe La venganza de Salazar (2017).mkv,5924286453,22958,plex://movie/5d7769e1fb0d55001f533173,tt1790809,https://m.media-amazon.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_SX300.jpg,N/A,/library/metadata/22958/thumb/1763607684,"{""Title"": ""Pirates of the Caribbean: Dead Men Tell No Tales"", ""Year"": ""2017"", ""Rated"": ""PG-13"", ""Released"": ""26 May 2017"", ""Runtime"": ""129 min"", ""Genre"": ""Action, Adventure, Fantasy"", ""Director"": ""Joachim Rønning, Espen Sandberg"", ""Writer"": ""Jeff Nathanson, Terry Rossio, Ted Elliott"", ""Actors"": ""Johnny Depp, Javier Bardem, Geoffrey Rush"", ""Plot"": ""Captain Jack Sparrow searches for the Trident of Poseidon to rule the sea while being pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle."", ""Language"": ""English, Spanish"", ""Country"": ""United States, Australia, United Kingdom, Canada"", ""Awards"": ""1 win & 14 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.5/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""30%""}, {""Source"": ""Metacritic"", ""Value"": ""39/100""}], ""Metascore"": ""39"", ""imdbRating"": ""6.5"", ""imdbVotes"": ""376,063"", ""imdbID"": ""tt1790809"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$172,558,876"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Películas,Shooter: El tirador,2007,,7.1,371811,47,53,MAYBE,score_bayes=7.10 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/ADULTOS_VOL_00/00.Movies/01. Accion/Shooter (2007).mkv,5643801126,28877,plex://movie/5d776d08ad5437001f7cb1e3,tt0822854,https://m.media-amazon.com/images/M/MV5BYmE0NWZiMjktY2U4MC00MDVmLTljMGMtMWZiMThiNjczNzViXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/28877/thumb/1761983380,"{""Title"": ""Shooter"", ""Year"": ""2007"", ""Rated"": ""R"", ""Released"": ""23 Mar 2007"", ""Runtime"": ""124 min"", ""Genre"": ""Action, Drama, Thriller"", ""Director"": ""Antoine Fuqua"", ""Writer"": ""Stephen Hunter, Jonathan Lemkin"", ""Actors"": ""Mark Wahlberg, Michael Peña, Danny Glover"", ""Plot"": ""An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assassination attempt he was trying to prevent, he sets out for the r..."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""2 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BYmE0NWZiMjktY2U4MC00MDVmLTljMGMtMWZiMThiNjczNzViXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""47%""}, {""Source"": ""Metacritic"", ""Value"": ""53/100""}], ""Metascore"": ""53"", ""imdbRating"": ""7.1"", ""imdbVotes"": ""371,811"", ""imdbID"": ""tt0822854"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$47,003,582"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Jurassic World II : El Reino Caido,2018,4.7,6.1,371687,47,51,MAYBE,score_bayes=6.13 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),,/mnt/Sagas/00.Sagas/Jurasic World/Jurassic World 2 - El reino caido (2018).mkv,5903629985,23161,plex://movie/5d9f3cbfadeb7a0021ce9637,tt4881806,https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_SX300.jpg,N/A,/library/metadata/23161/thumb/1760497109,"{""Title"": ""Jurassic World: Fallen Kingdom"", ""Year"": ""2018"", ""Rated"": ""PG-13"", ""Released"": ""22 Jun 2018"", ""Runtime"": ""128 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""J.A. Bayona"", ""Writer"": ""Derek Connolly, Colin Trevorrow, Michael Crichton"", ""Actors"": ""Chris Pratt, Bryce Dallas Howard, Rafe Spall"", ""Plot"": ""When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."", ""Language"": ""English, Russian"", ""Country"": ""United States, China"", ""Awards"": ""5 wins & 26 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""47%""}, {""Source"": ""Metacritic"", ""Value"": ""51/100""}], ""Metascore"": ""51"", ""imdbRating"": ""6.1"", ""imdbVotes"": ""371,687"", ""imdbID"": ""tt4881806"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$417,719,760"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Superheroes,Los 4 fantásticos,2005,2.8,5.7,368633,28,40,MAYBE,score_bayes=5.72 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),Title mismatch: Plex='Los 4 fantásticos' vs OMDb='Fantastic Four' (sim=0.58),/mnt/Infantil_01/01. Superheroes/01. Marvel/Los Cuatro Fantasticos (2005).mkv,4282356856,21125,plex://movie/5d7768336f4521001ea9bca7,tt0120667,https://m.media-amazon.com/images/M/MV5BNjY2YmZmMzUtZWY5Mi00MzI3LTljOTgtYTMwMWY1ODI5ZWY5XkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/21125/thumb/1762568487,"{""Title"": ""Fantastic Four"", ""Year"": ""2005"", ""Rated"": ""PG-13"", ""Released"": ""08 Jul 2005"", ""Runtime"": ""106 min"", ""Genre"": ""Action, Adventure, Fantasy"", ""Director"": ""Tim Story"", ""Writer"": ""Mark Frost, Michael France, Stan Lee"", ""Actors"": ""Ioan Gruffudd, Michael Chiklis, Chris Evans"", ""Plot"": ""A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom."", ""Language"": ""English"", ""Country"": ""Germany, United States, Canada"", ""Awards"": ""4 wins & 13 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNjY2YmZmMzUtZWY5Mi00MzI3LTljOTgtYTMwMWY1ODI5ZWY5XkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""5.7/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""28%""}, {""Source"": ""Metacritic"", ""Value"": ""40/100""}], ""Metascore"": ""40"", ""imdbRating"": ""5.7"", ""imdbVotes"": ""368,633"", ""imdbID"": ""tt0120667"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$154,696,080"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
